model,price,reviews,sells,url,vendor
,39,5,92,https://produto.mercadolivre.com.br/MLB-741591049-adaptador-p-roteador-3g-4g-modem-dlink-dwr-922b-_JM,
,109.99,"5,208",2,https://produto.mercadolivre.com.br/MLB-2134981913-repetidor-wifi-mini-roteador-wireless-4-antenas-amplificador-_JM,
,208.90,157,84,https://produto.mercadolivre.com.br/MLB-978884507-roteador-wireless-n-450mbps-tl-wr940n-3-antenas-nfe-_JM,
,179.99,353,6,https://produto.mercadolivre.com.br/MLB-2212920879-repetidor-sinal-wi-fi-tp-link-tl-wa855re-v5-bi-volt-_JM,
,294.99,30,6,https://produto.mercadolivre.com.br/MLB-2653611519-roteador-tp-link-archer-c64-ac1200-gigabit-dual-band-_JM,
F3,145.35,75,1180,https://www.mercadolivre.com.br/roteador-tenda-f3-branco/p/MLB6323454?pdp_filters=category:MLB5867,Tenda
,359,4,126,https://produto.mercadolivre.com.br/MLB-1908813181-roteador-tp-link-wireless-gigabit-mu-mimo-ac1200-archer-c6-_JM,
,203.84,252,950,https://produto.mercadolivre.com.br/MLB-1280871733-roteador-wireless-wifi-tp-link-mercusys-quebra-parede-alta-potencia-1000mw-n-941hp-envios-24hs-_JM,
,103.90,758,127,https://produto.mercadolivre.com.br/MLB-1069704411-roteador-wireless-tplink-mercusys-mw301r-300mbps-envio-24hs-_JM,
TL-WR829N,103.82,30,1008,https://www.mercadolivre.com.br/roteador-access-point-repetidor-wisp-tp-link-tl-wr829n-v2-branco-100v240v/p/MLB18720675?pdp_filters=item_id:MLB1675829403,TP-Link
,384.80,"2,128",7,https://produto.mercadolivre.com.br/MLB-2187676345-roteador-repetidor-access-point-intelbras-action-rg1200-biv-_JM,
,1669.32,"1,113",145,https://produto.mercadolivre.com.br/MLB-1573423244-roteador-tp-link-wireless-ac1300-cx-3-un-deco-m5-_JM,
,459,712,133,https://produto.mercadolivre.com.br/MLB-2013743503-roteador-mikrotik-router-board-hex-rb750gr3-_JM,
,274,20,10,https://produto.mercadolivre.com.br/MLB-2061708173-repetidor-xiaomi-mi-wifi-ac1200-dual-band-extensor-de-sinal-_JM,
,60.54,13,280,https://produto.mercadolivre.com.br/MLB-1763578777-repetidor-de-sinal-wifi-expansor-wireless-300m-internet-haiz-_JM,
,165.69,710,4,https://produto.mercadolivre.com.br/MLB-2022963139-roteador-tp-link-archer-c21-branco-_JM,
,1299,23,6,https://produto.mercadolivre.com.br/MLB-2606957881-google-nest-wi-fi-snow-point-ga00667-us-wifi-ponto-mesh-_JM,
,799.23,58,21,https://produto.mercadolivre.com.br/MLB-1975342588-tp-link-mesh-deco-x20-whole-home-wi-fi-6-ax1800-1-pack-_JM,
,199,191,70,https://produto.mercadolivre.com.br/MLB-2072391031-mini-roteador-3g-4g-tp-link-tl-mr3020-no-acompanha-modem-_JM,
,621.37,423,17,https://produto.mercadolivre.com.br/MLB-1634358101-roteador-tp-link-ac1200-mesh-cx-2-un-deco-e4-_JM,
,466.65,347,120,https://produto.mercadolivre.com.br/MLB-1492714618-kit-2-roteador-wifi-mesh-twibi-fast-intelbras-alcance-200m2-_JM,
,798.99,141,23,https://produto.mercadolivre.com.br/MLB-2015087534-roteador-wifi-6-dual-band-gigabit-archer-ax50-_JM,
,90.99,"5,208",23,https://produto.mercadolivre.com.br/MLB-2618350363-repetidor-wifi-4-antenas-amplificador-de-sinal-2800m-pixlink-_JM,
,379.90,"3,217",9,https://produto.mercadolivre.com.br/MLB-1893306162-roteador-atravessa-paredes-tp-link-tl-wr941hp-preto-_JM,
,308,"2,369",1,https://produto.mercadolivre.com.br/MLB-2679144594-tp-link-ac1200-roteador-wireless-mesh-full-gigabit-mu-mimo-_JM,
,255,476,9,https://produto.mercadolivre.com.br/MLB-1877230717-roteador-tp-link-archer-c5w-preset-dual-band-wirel-_JM,
RouterBOARD,379,22,350,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-ac-lite-rb952ui-5ac2nd-azul-e-branco-100v240v/p/MLB8606595?pdp_filters=category:MLB5867,MikroTik
,266.39,43,15,https://produto.mercadolivre.com.br/MLB-2009475838-access-point-indoor-tp-link-omada-eap110-branco-_JM,
,135.23,747,23,https://produto.mercadolivre.com.br/MLB-2206172275-roteador-access-point-repetidor-intelbras-iwr-3000n-branco-_JM,
,1299,299,48,https://produto.mercadolivre.com.br/MLB-1855316359-ubiquiti-networks-unifi-uap-ac-pro-_JM,
,190.33,349,2,https://produto.mercadolivre.com.br/MLB-2011816724-roteador-tp-link-tl-wr940n-preto-_JM,
,694.88,180,2,https://produto.mercadolivre.com.br/MLB-2220590949-novo-roteador-access-point-tp-link-archer-ax50-v1-dual-band-_JM,
